Comparing random data compare count
, Bubble, Shaker, Selective, Quick, Modified Quick, Merge, Hash
3.0, 5.39231742278, 5.39231742278, 5.16992500144, 3.80735492206, 3.90689059561, 3.90689059561, 3.0, 
4.0, 7.49185309633, 7.2288186905, 7.08746284125, 5.75488750216, 5.90689059561, 5.4262647547, 4.0, 
5.0, 9.861086906, 9.81217730551, 9.04439411936, 7.04439411936, 7.47573343097, 6.95419631039, 5.0, 
6.0, 11.6497052655, 11.758639637, 11.022367813, 8.86727873971, 8.29920801839, 8.24792751344, 6.0, 
7.0, 13.8215747009, 13.9194220243, 13.0112272554, 9.7747870596, 9.75822321473, 9.47573343097, 7.0, 
8.0, 15.680853964, 15.7559046693, 15.0056245492, 11.0512089409, 11.098032083, 10.7548875022, 8.0, 
9.0, 17.8013105021, 17.9600754863, 17.0028150156, 12.2659080092, 12.2100624832, 11.9421479204, 9.0, 
10.0, 19.9219179152, 19.9830088885, 19.0014081944, 13.5211096437, 13.3762610766, 13.1300878678, 10.0, 
11.0, 21.9381398445, 21.9607450814, 21.000704269, 14.7301516732, 14.7264310561, 14.2855467123, 11.0, 
12.0, 23.9607356265, 23.946554011, 23.0003521775, 15.7902721239, 15.8093662078, 15.4243959572, 12.0, 



Comparing random data swap count
, Bubble, Shaker, Selective, Quick, Modified Quick, Merge, Hash
3.0, 4.08746284125, 3.90689059561, 3.90689059561, 2.0, 3.32192809489, 0, 3.0, 
4.0, 6.24792751344, 5.85798099513, 6.16992500144, 5.04439411936, 4.16992500144, 0, 4.0, 
5.0, 8.11374216605, 7.87651694657, 7.89481776331, 6.65821148275, 6.83289001416, 0, 5.0, 
6.0, 9.94836723158, 10.0874628413, 9.86882255477, 7.2288186905, 7.56985560833, 0, 6.0, 
7.0, 12.0583300262, 11.82456103, 12.0361736126, 9.07948478383, 8.71767642307, 0, 7.0, 
8.0, 14.0522283933, 14.0337671148, 13.9920531929, 9.82336724005, 10.2667865407, 0, 8.0, 
9.0, 16.0232562188, 15.9903699229, 15.8124781699, 11.1755495506, 11.0505289055, 0, 9.0, 
10.0, 18.0124608647, 17.982364174, 17.5370894527, 12.1833252245, 12.3616696795, 0, 10.0, 
11.0, 19.9641673914, 20.0220141945, 19.1804361099, 13.5046948688, 13.5494237084, 0, 11.0, 
12.0, 21.9933748299, 21.968268469, 20.5344881248, 14.4231815812, 14.4662676861, 0, 12.0, 



Comparing mostly sorted data compare count
, Bubble, Shaker, Selective, Quick, Modified Quick, Merge, Hash
3.0, 3.80735492206, 4.39231742278, 5.16992500144, 4.0, 4.75488750216, 3.90689059561, 3.0, 
4.0, 4.90689059561, 7.2288186905, 7.08746284125, 6.71424551767, 5.95419631039, 5.32192809489, 4.0, 
5.0, 7.27612440527, 5.95419631039, 9.04439411936, 8.59245703727, 7.98868468677, 6.65821148275, 5.0, 
6.0, 11.4691330198, 10.7321674257, 11.022367813, 10.7073591321, 9.99717948094, 7.936637939, 6.0, 
7.0, 13.3285346897, 9.79603960883, 13.0112272554, 11.999295387, 11.999295387, 9.03617361255, 7.0, 
8.0, 15.9773470116, 15.9250907744, 15.0056245492, 14.0208063607, 13.7610317355, 10.100662339, 8.0, 
9.0, 17.376557848, 14.8300694951, 17.0028150156, 16.0165036324, 15.9999559718, 11.2336196768, 9.0, 
10.0, 16.1278734467, 17.9293277673, 19.0014081944, 18.4744585421, 17.6251166345, 12.5975870396, 10.0, 
11.0, 18.4001748233, 20.0382143763, 21.000704269, 20.1774828025, 19.8061719828, 13.7316372375, 11.0, 
12.0, 22.9567497781, 22.3294440747, 23.0003521775, 22.6536743122, 21.6697432123, 14.8488185203, 12.0, 



Comparing mostly sorted data swap count
, Bubble, Shaker, Selective, Quick, Modified Quick, Merge, Hash
3.0, 0.0, 3.70043971814, 3.16992500144, 2.32192809489, 1.58496250072, 0, 3.0, 
4.0, 1.58496250072, 4.85798099513, 4.85798099513, 0.0, 3.16992500144, 0, 4.0, 
5.0, 5.35755200462, 5.78135971352, 4.85798099513, 3.32192809489, 3.90689059561, 0, 5.0, 
6.0, 5.49185309633, 1.58496250072, 3.90689059561, 1.58496250072, 4.95419631039, 0, 6.0, 
7.0, 7.6934869575, 7.0, 5.45943161864, 5.93073733756, 5.9772799235, 0, 7.0, 
8.0, 8.45121111183, 8.08746284125, 5.93073733756, 7.7747870596, 6.98868468677, 0, 8.0, 
9.0, 9.97584796801, 8.90388184574, 7.84549005094, 4.75488750216, 8.26678654069, 0, 9.0, 
10.0, 9.90538700502, 9.42416628882, 10.0874628413, 4.64385618977, 9.59805250016, 0, 10.0, 
11.0, 10.5410966153, 10.5459297691, 11.2796105811, 10.7498694274, 9.99859042975, 0, 11.0, 
12.0, 12.7210991887, 9.56224242422, 11.513727596, 10.2573878427, 11.598982971, 0, 12.0, 
